disaster,sido,sgg,file,date,caption,photographer
호우,,거제,/images/호우/거제/20260819_01_4a1bce89.jpg,2026-08-19,,희망브리지
호우,,거제,/images/호우/거제/20260819_02_2fcde6b8.jpg,2026-08-19,,희망브리지
호우,,거제,/images/호우/거제/20260819_03_52875d68.jpg,2026-08-19,,희망브리지
호우,,거제,/images/호우/거제/20260819_04_b5a1de51.jpg,2026-08-19,,희망브리지
호우,,거제,/images/호우/거제/20260820_01_f4d75496.jpg,2026-08-20,17일 발생한 경남 거제시 옥포동 한 아파트 산사태 현장. 경남소방본부 제공,희망브리지
호우,,거제,/images/호우/거제/20260820_01_370e10fc.jpg,2026-08-20,"거제 소방대원들이 지난 17일 거제시 연초면 오비리에서 한 남성이 토사에 발이 빠져 움직이지 못하자, 출동한 소방대원들이 구조활동을 벌이고 있다. [사진=울산소방본부]",희망브리지
호우,,거제,/images/호우/거제/20260820_01_f2e4ad71.jpg,2026-08-20,경남 거제시 옥포동의 한 아파트 인근에서 산사태가 발생해 토사가 아파트 1층을 덮쳤다. (사진= 경남소방본부 제공),희망브리지
호우,,거제,/images/호우/거제/20260820_01_86f959c0.jpg,2026-08-20,산불재난특수진화대 요원들이 17일 통영 신전리 일대 임도에서 폭우 복구활동을 벌이고 있다. [산림청 제공],희망브리지
